date,hour,zone,demand,dry_bulb,dew_pnt,holiday_flag
2016-05-01,1,CT,2296.953,47,32,FALSE
2016-05-01,2,CT,2181.977,46,33,FALSE
2016-05-01,3,CT,2122.983,46,33,FALSE
2016-05-01,4,CT,2095.471,46,33,FALSE
2016-05-01,5,CT,2102.925,45,35,FALSE
2016-05-01,6,CT,2147.457,45,36,FALSE
2016-05-01,7,CT,2218.002,45,36,FALSE
2016-05-01,8,CT,2399.522,46,37,FALSE
2016-05-01,9,CT,2651.342,48,36,FALSE
2016-05-01,10,CT,2856.322,48,36,FALSE
2016-05-01,11,CT,2972.413,48,37,FALSE
2016-05-01,12,CT,3024.58,49,35,FALSE
2016-05-01,13,CT,3046.516,51,33,FALSE
2016-05-01,14,CT,3046.68,50,29,FALSE
2016-05-01,15,CT,3043.833,49,33,FALSE
2016-05-01,16,CT,3060.091,47,35,FALSE
2016-05-01,17,CT,3130.927,46,37,FALSE
2016-05-01,18,CT,3245.87,44,40,FALSE
2016-05-01,19,CT,3300.141,44,38,FALSE
2016-05-01,20,CT,3340.089,44,39,FALSE
2016-05-01,21,CT,3346.085,42,39,FALSE
2016-05-01,22,CT,3126.759,42,38,FALSE
2016-05-01,23,CT,2834.94,42,39,FALSE
2016-05-01,24,CT,2553.945,42,39,FALSE
2016-05-02,1,CT,2376.231,41,39,FALSE
2016-05-02,2,CT,2283.4,41,40,FALSE
2016-05-02,3,CT,2233.505,41,39,FALSE
2016-05-02,4,CT,2231.105,42,40,FALSE
2016-05-02,5,CT,2315.616,42,40,FALSE
2016-05-02,6,CT,2569.874,42,40,FALSE
2016-05-02,7,CT,3000.695,42,40,FALSE
2016-05-02,8,CT,3308.596,43,41,FALSE
2016-05-02,9,CT,3415.658,44,42,FALSE
2016-05-02,10,CT,3466.41,44,42,FALSE
2016-05-02,11,CT,3527.591,45,42,FALSE
2016-05-02,12,CT,3546.645,45,43,FALSE
2016-05-02,13,CT,3468.76,46,43,FALSE
2016-05-02,14,CT,3461.325,48,44,FALSE
2016-05-02,15,CT,3397.202,48,45,FALSE
2016-05-02,16,CT,3351.948,49,46,FALSE
2016-05-02,17,CT,3388.024,49,47,FALSE
2016-05-02,18,CT,3433.547,50,47,FALSE
2016-05-02,19,CT,3422.678,51,48,FALSE
2016-05-02,20,CT,3443.017,53,49,FALSE
2016-05-02,21,CT,3517.567,51,49,FALSE
2016-05-02,22,CT,3295.43,50,48,FALSE
2016-05-02,23,CT,2948.668,49,47,FALSE
2016-05-02,24,CT,2632.489,49,48,FALSE
2016-05-03,1,CT,2424.023,48,47,FALSE
2016-05-03,2,CT,2307.894,48,47,FALSE
2016-05-03,3,CT,2250.855,48,46,FALSE
2016-05-03,4,CT,2246.025,48,46,FALSE
2016-05-03,5,CT,2320.31,48,46,FALSE
2016-05-03,6,CT,2563.887,48,46,FALSE
2016-05-03,7,CT,2985.902,48,46,FALSE
2016-05-03,8,CT,3289.215,48,46,FALSE
2016-05-03,9,CT,3386.671,48,47,FALSE
2016-05-03,10,CT,3428.331,49,47,FALSE
2016-05-03,11,CT,3450.394,50,48,FALSE
2016-05-03,12,CT,3483.718,51,48,FALSE
2016-05-03,13,CT,3447.173,51,48,FALSE
2016-05-03,14,CT,3443.5,51,48,FALSE
2016-05-03,15,CT,3408.911,53,48,FALSE
2016-05-03,16,CT,3379.837,52,48,FALSE
2016-05-03,17,CT,3429.981,54,48,FALSE
2016-05-03,18,CT,3483.379,54,46,FALSE
2016-05-03,19,CT,3497.573,53,47,FALSE
2016-05-03,20,CT,3520.896,52,47,FALSE
2016-05-03,21,CT,3521.149,51,47,FALSE
2016-05-03,22,CT,3291.169,50,47,FALSE
2016-05-03,23,CT,2943.938,50,47,FALSE
2016-05-03,24,CT,2631.782,50,47,FALSE
2016-05-04,1,CT,2427.138,50,47,FALSE
2016-05-04,2,CT,2311.785,50,46,FALSE
2016-05-04,3,CT,2251.523,49,45,FALSE
2016-05-04,4,CT,2243.918,49,44,FALSE
2016-05-04,5,CT,2313.133,49,43,FALSE
2016-05-04,6,CT,2561.53,48,44,FALSE
2016-05-04,7,CT,2977.481,48,44,FALSE
2016-05-04,8,CT,3275.843,48,44,FALSE
2016-05-04,9,CT,3364.97,48,43,FALSE
2016-05-04,10,CT,3417.772,49,42,FALSE
2016-05-04,11,CT,3468.407,49,42,FALSE
2016-05-04,12,CT,3464.223,50,43,FALSE
2016-05-04,13,CT,3442.222,50,44,FALSE
2016-05-04,14,CT,3431.683,51,42,FALSE
2016-05-04,15,CT,3396.31,51,42,FALSE
2016-05-04,16,CT,3375.606,51,42,FALSE
2016-05-04,17,CT,3420.734,51,41,FALSE
2016-05-04,18,CT,3502.626,50,40,FALSE
2016-05-04,19,CT,3541.177,50,40,FALSE
2016-05-04,20,CT,3570.081,49,39,FALSE
2016-05-04,21,CT,3571.442,47,41,FALSE
2016-05-04,22,CT,3345.779,47,41,FALSE
2016-05-04,23,CT,3002.905,46,42,FALSE
2016-05-04,24,CT,2688.442,45,41,FALSE
2016-05-05,1,CT,2484.669,45,40,FALSE
2016-05-05,2,CT,2377.408,45,40,FALSE
2016-05-05,3,CT,2316.761,45,40,FALSE
2016-05-05,4,CT,2307.611,45,40,FALSE
2016-05-05,5,CT,2379.929,44,40,FALSE
2016-05-05,6,CT,2633.764,45,39,FALSE
2016-05-05,7,CT,3049.45,44,40,FALSE
2016-05-05,8,CT,3342.787,45,40,FALSE
2016-05-05,9,CT,3424.462,46,40,FALSE
2016-05-05,10,CT,3451.459,47,41,FALSE
2016-05-05,11,CT,3464.293,49,41,FALSE
2016-05-05,12,CT,3447.677,51,42,FALSE
2016-05-05,13,CT,3411.27,52,42,FALSE
2016-05-05,14,CT,3409.521,53,41,FALSE
2016-05-05,15,CT,3380.115,53,42,FALSE
2016-05-05,16,CT,3363.602,53,42,FALSE
2016-05-05,17,CT,3383.371,52,43,FALSE
2016-05-05,18,CT,3419.62,52,43,FALSE
2016-05-05,19,CT,3439.477,51,43,FALSE
2016-05-05,20,CT,3483.093,51,43,FALSE
2016-05-05,21,CT,3533.705,49,44,FALSE
2016-05-05,22,CT,3330.483,49,43,FALSE
2016-05-05,23,CT,2999.303,49,43,FALSE
2016-05-05,24,CT,2681.414,49,43,FALSE
2016-05-06,1,CT,2470.816,49,43,FALSE
2016-05-06,2,CT,2355.582,49,42,FALSE
2016-05-06,3,CT,2291.525,49,42,FALSE
2016-05-06,4,CT,2275.673,50,42,FALSE
2016-05-06,5,CT,2343.938,50,42,FALSE
2016-05-06,6,CT,2573.181,50,42,FALSE
2016-05-06,7,CT,2979.495,50,42,FALSE
2016-05-06,8,CT,3277.42,50,43,FALSE
2016-05-06,9,CT,3385.012,50,44,FALSE
2016-05-06,10,CT,3428.409,52,44,FALSE
2016-05-06,11,CT,3438.245,54,45,FALSE
2016-05-06,12,CT,3401.287,56,45,FALSE
2016-05-06,13,CT,3345.281,60,46,FALSE
2016-05-06,14,CT,3360.873,60,46,FALSE
2016-05-06,15,CT,3344.284,62,48,FALSE
2016-05-06,16,CT,3316.896,62,48,FALSE
2016-05-06,17,CT,3321.431,59,50,FALSE
2016-05-06,18,CT,3360.215,57,51,FALSE
2016-05-06,19,CT,3376.763,55,51,FALSE
2016-05-06,20,CT,3385.774,53,50,FALSE
2016-05-06,21,CT,3373.893,53,50,FALSE
2016-05-06,22,CT,3213.275,52,50,FALSE
2016-05-06,23,CT,2954.307,51,49,FALSE
2016-05-06,24,CT,2666.015,50,48,FALSE
2016-05-07,1,CT,2445.395,50,47,FALSE
2016-05-07,2,CT,2312.673,49,47,FALSE
2016-05-07,3,CT,2237.817,49,46,FALSE
2016-05-07,4,CT,2208.168,48,46,FALSE
2016-05-07,5,CT,2221.344,47,45,FALSE
2016-05-07,6,CT,2302.469,47,45,FALSE
2016-05-07,7,CT,2450.153,47,45,FALSE
2016-05-07,8,CT,2682.168,47,44,FALSE
2016-05-07,9,CT,2919.971,47,45,FALSE
2016-05-07,10,CT,3089.742,48,45,FALSE
2016-05-07,11,CT,3160.832,50,46,FALSE
2016-05-07,12,CT,3144.415,51,48,FALSE
2016-05-07,13,CT,3093.853,52,47,FALSE
2016-05-07,14,CT,3045.262,53,48,FALSE
2016-05-07,15,CT,3001.057,54,48,FALSE
2016-05-07,16,CT,2954.487,54,49,FALSE
2016-05-07,17,CT,2970.738,55,50,FALSE
2016-05-07,18,CT,3016.316,55,51,FALSE
2016-05-07,19,CT,3033.412,55,51,FALSE
2016-05-07,20,CT,3068.281,55,51,FALSE
2016-05-07,21,CT,3134.499,54,51,FALSE
2016-05-07,22,CT,3025.621,54,51,FALSE
2016-05-07,23,CT,2823.109,54,51,FALSE
2016-05-07,24,CT,2577.495,53,51,FALSE
2016-05-08,1,CT,2380.659,53,51,FALSE
2016-05-08,2,CT,2254.924,54,52,FALSE
2016-05-08,3,CT,2183.022,52,50,FALSE
2016-05-08,4,CT,2142.699,52,50,FALSE
2016-05-08,5,CT,2138.169,53,49,FALSE
2016-05-08,6,CT,2173.547,51,47,FALSE
2016-05-08,7,CT,2253.303,48,46,FALSE
2016-05-08,8,CT,2451.104,52,48,FALSE
2016-05-08,9,CT,2738.577,52,47,FALSE
2016-05-08,10,CT,2957.378,51,49,FALSE
2016-05-08,11,CT,3067.465,51,49,FALSE
2016-05-08,12,CT,3055.357,51,48,FALSE
2016-05-08,13,CT,2961.707,52,49,FALSE
2016-05-08,14,CT,2842.641,58,51,FALSE
2016-05-08,15,CT,2724.339,61,39,FALSE
2016-05-08,16,CT,2676.594,64,31,FALSE
2016-05-08,17,CT,2709.574,63,27,FALSE
2016-05-08,18,CT,2789.88,62,26,FALSE
2016-05-08,19,CT,2855.356,60,27,FALSE
2016-05-08,20,CT,2944.325,57,29,FALSE
2016-05-08,21,CT,3126.031,54,28,FALSE
2016-05-08,22,CT,3018.902,52,28,FALSE
2016-05-08,23,CT,2764.432,49,30,FALSE
2016-05-08,24,CT,2489.761,48,31,FALSE
2016-05-09,1,CT,2312.146,45,31,FALSE
2016-05-09,2,CT,2214.44,47,30,FALSE
2016-05-09,3,CT,2180.505,47,31,FALSE
2016-05-09,4,CT,2185.441,48,33,FALSE
2016-05-09,5,CT,2277.222,41,33,FALSE
2016-05-09,6,CT,2521.734,41,34,FALSE
2016-05-09,7,CT,2937.013,48,35,FALSE
2016-05-09,8,CT,3215.298,49,35,FALSE
2016-05-09,9,CT,3260.311,53,35,FALSE
2016-05-09,10,CT,3252.72,57,37,FALSE
2016-05-09,11,CT,3271.371,60,34,FALSE
2016-05-09,12,CT,3266.956,63,31,FALSE
2016-05-09,13,CT,3250.601,64,29,FALSE
2016-05-09,14,CT,3254.184,65,29,FALSE
2016-05-09,15,CT,3233.474,65,31,FALSE
2016-05-09,16,CT,3208.963,68,29,FALSE
2016-05-09,17,CT,3232.062,69,29,FALSE
2016-05-09,18,CT,3268.457,68,27,FALSE
2016-05-09,19,CT,3281.75,67,27,FALSE
2016-05-09,20,CT,3308.426,63,28,FALSE
2016-05-09,21,CT,3422.932,59,28,FALSE
2016-05-09,22,CT,3233.968,56,27,FALSE
2016-05-09,23,CT,2877.132,52,26,FALSE
2016-05-09,24,CT,2546.558,51,25,FALSE
2016-05-10,1,CT,2329.376,46,26,FALSE
2016-05-10,2,CT,2218.733,44,26,FALSE
2016-05-10,3,CT,2169.848,41,28,FALSE
2016-05-10,4,CT,2172.762,39,28,FALSE
2016-05-10,5,CT,2253.94,39,27,FALSE
2016-05-10,6,CT,2488.085,40,27,FALSE
2016-05-10,7,CT,2906.612,38,27,FALSE
2016-05-10,8,CT,3161.286,44,31,FALSE
2016-05-10,9,CT,3202.11,51,28,FALSE
2016-05-10,10,CT,3210.201,56,27,FALSE
2016-05-10,11,CT,3242.959,58,25,FALSE
2016-05-10,12,CT,3248.508,63,24,FALSE
2016-05-10,13,CT,3230.227,65,23,FALSE
2016-05-10,14,CT,3247.351,67,25,FALSE
2016-05-10,15,CT,3249.388,69,25,FALSE
2016-05-10,16,CT,3228.075,70,22,FALSE
2016-05-10,17,CT,3252.478,71,24,FALSE
2016-05-10,18,CT,3283.953,70,24,FALSE
2016-05-10,19,CT,3286.285,68,24,FALSE
2016-05-10,20,CT,3301.726,67,26,FALSE
2016-05-10,21,CT,3407.817,64,25,FALSE
2016-05-10,22,CT,3228.698,62,28,FALSE
2016-05-10,23,CT,2883.509,58,30,FALSE
2016-05-10,24,CT,2558.59,53,33,FALSE
2016-05-11,1,CT,2348.121,51,33,FALSE
2016-05-11,2,CT,2242.549,51,35,FALSE
2016-05-11,3,CT,2189.185,47,35,FALSE
2016-05-11,4,CT,2190.301,42,36,FALSE
2016-05-11,5,CT,2264.993,42,36,FALSE
2016-05-11,6,CT,2488.411,41,35,FALSE
2016-05-11,7,CT,2892.492,40,35,FALSE
2016-05-11,8,CT,3153.278,46,38,FALSE
2016-05-11,9,CT,3216.799,53,37,FALSE
2016-05-11,10,CT,3248.422,59,38,FALSE
2016-05-11,11,CT,3295.866,65,35,FALSE
2016-05-11,12,CT,3311.875,68,32,FALSE
2016-05-11,13,CT,3309.61,71,33,FALSE
2016-05-11,14,CT,3335.382,74,34,FALSE
2016-05-11,15,CT,3348.954,76,34,FALSE
2016-05-11,16,CT,3356.904,78,36,FALSE
2016-05-11,17,CT,3383.236,79,35,FALSE
2016-05-11,18,CT,3392.279,80,33,FALSE
2016-05-11,19,CT,3366.421,79,33,FALSE
2016-05-11,20,CT,3365.253,75,37,FALSE
